,NSE20,Actual.M2,Anticipated.M2,UnAnticipated.M2
1,1317.14,305942,25934,280008
2,1111.36,314570.6667,24306.3333,290264.3334
3,1064.02,322964.3333,19911.3334,303052.9999
4,1151.07,331876,24887.6667,306988.3333
5,1543.94,338877,34299.6667,304577.3333
6,1922.16,342875.6667,36646.3333,306229.3334
7,2062.84,356763.6667,32743.3333,324020.3334
8,2544.3,373176.6667,29936,343240.6667
9,3006.94,379522,34659,344863
10,2666.39,389507,28912,360595
11,2682.26,403112.6667,23013.6666,380099.0001
12,2857.43,414181,24333,389848
13,3140.5,418419,-1935.6667,420354.6667
14,3414.03,426126.3333,58756.3334,367369.9999
15,3975.67,438514,75649.3333,362864.6667
16,3956.4,416483.3333,117292.3334,299190.9999
17,4075.24,484882.6667,35693.3333,449189.3334
18,4199.5,514163.3333,50442.6667,463720.6666
19,4455.45,533775.6667,57419.6666000001,476356.0001
20,5380.32,520576,103712.6667,416863.3333
21,5575.15,564606,85748,478858
22,5132.93,591195.3333,99385,491810.3333
23,5281.82,624288.6667,98885.6666000001,525403.0001
24,5139.98,650354,75977.3333000001,574376.6667
25,4988.91,690580.3333,66548.3333999999,624031.9999
26,5191.74,723174.3333,47610,675564.3333
27,4715.89,726331.3333,73989.6666999999,652341.6666
28,3532.42,757128.6667,89643.6666000001,667485.0001
29,2918.32,770784.3333,112323.3334,658460.9999
30,2810.62,800321,137681.6667,662639.3333
31,3201.2,846772.3333,143620.3334,703151.9999
32,3114.77,883107.6667,172383.6663,710724.0004
33,3665.56,938002.6667,153769.0003,784233.6664
34,4230.41,990392.6667,139239.0003,851153.6664
35,4475.92,1055491.333,108957.334,946533.999
36,4526.6,1091771.667,119491.666,972280.001
37,4273.14,1129631.667,114273,1015358.667
38,4017.63,1164448.667,90598,1073850.667
39,3588.77,1211263.333,102830.334,1108432.999
40,3274.95,1243904.667,141780.333,1102124.334
41,3246.31,1255046.667,200611.333,1054435.334
42,3658.09,1314093.667,NA,NA
43,3854.76,1385685,NA,NA
44,4084.09,1455658,NA,NA
